Reflux Flow,Reboiler Duty,Tray 24 Ethane Comp.,Tray 85 Temp.
360000.0,110.0,0.0034404661263509016,-24.829108598375736
360000.0,110.0,0.0016865325656211152,-25.136788618145875
360000.0,110.0,0.0011072483221489858,-25.265454810672743
360000.0,110.0,0.0008893799594181953,-25.328109810479148
360000.0,110.0,0.0007896736300141354,-25.37449663245179
360000.0,110.0,0.0007347018551421677,-25.407956303190467
360000.0,110.0,0.0007014490793951472,-25.430187062896668
360000.0,110.0,0.0006803058591009517,-25.444341001044844
360000.0,110.0,0.0006665450983623915,-25.452565944597925
360000.0,110.0,0.0006576591817630744,-25.45626879908175
360000.0,110.0,0.000652303829819761,-25.456455711291518
360000.0,110.0,0.0006497512345471433,-25.45384814283178
360000.0,110.0,0.000649435425732134,-25.44913326672828
360000.0,110.0,0.0006508963503965231,-25.44291863943901
360000.0,110.0,0.0006537896977142654,-25.435694345546217
360000.0,110.0,0.0006577778304728627,-25.42790822592297
360000.0,110.0,0.0006625550810968953,-25.419933464852967
360000.0,110.0,0.0006678684455406436,-25.41207398647854
360000.0,110.0,0.0006734777153278407,-25.404575372714763
360000.0,110.0,0.0006791751409558006,-25.39761543478938
360000.0,110.0,0.000684783800108478,-25.391340499617908
360000.0,110.0,0.0006901539639405278,-25.385835798048575
360000.0,110.0,0.0006951712263282185,-25.381141352175764
360000.0,110.0,0.0006997381835468539,-25.377284690766867
360000.0,110.0,0.0007037912694440602,-25.374249060246253
360000.0,110.0,0.0007072985734615873,-25.37198704911369
360000.0,110.0,0.0007102340357004449,-25.370456465936268
360000.0,110.0,0.0007126023562406298,-25.36958620035948
360000.0,110.0,0.0007144303205595787,-25.369291711784093
360000.0,110.0,0.0007157420018095035,-25.36950041152388
360000.0,110.0,0.0007165828069254388,-25.370126216582236
360000.0,110.0,0.0007170088528299602,-25.371082323931848
360000.0,110.0,0.0007170685183038316,-25.372294847359953
360000.0,110.0,0.0007168206827973748,-25.37368824672897
360000.0,110.0,0.0007163255688903066,-25.37519379293189
360000.0,110.0,0.0007156343585396247,-25.376753311402336
360000.0,110.0,0.0007147999870116211,-25.378314025640183
360000.0,110.0,0.000713871064242838,-25.379832990139633
360000.0,110.0,0.0007128885430607435,-25.381273880194854
360000.0,110.0,0.0007118898621414615,-25.38260904858704
360000.0,110.0,0.0007109059707612274,-25.38382002152251
360000.0,110.0,0.0007099627992292568,-25.384891264954963
360000.0,110.0,0.0007090805864553802,-25.385815825537534
360000.0,110.0,0.0007082733484506184,-25.386593675896815
360000.0,110.0,0.0007075527732482031,-25.387224840250592
360000.0,110.0,0.0007069248581747791,-25.387716011852568
360000.0,110.0,0.0007063908923383794,-25.38807815303819
360000.0,110.0,0.0007059518898646873,-25.38832038385582
360000.0,110.0,0.000705604380079449,-25.388456054623184
360000.0,110.0,0.00070534202037478,-25.388500031353594
360000.0,110.0,0.0007051594464168555,-25.388464959507008
360000.0,110.0,0.000705048430733882,-25.38836523163275
360000.0,110.0,0.0007049995451646787,-25.38821502007758
360000.0,110.0,0.0007050048330207818,-25.38802626621202
360000.0,110.0,0.0007050550160024303,-25.387810941570304
360000.0,110.0,0.0007051408341054899,-25.3875797837214
360000.0,110.0,0.0007052544812423606,-25.387341838700326
360000.0,110.0,0.000705388006689944,-25.38710510919013
360000.0,110.0,0.0007055341869205466,-25.386876071179604
360000.0,110.0,0.0007056869385993645,-25.38666015104676
360000.0,110.0,0.0007058407570803693,-25.386461380961375
360000.0,110.0,0.0007059911310554198,-25.38628236738039
360000.0,110.0,0.0007061342690044445,-25.386125283357583
360000.0,110.0,0.0007062672594947512,-25.385990977671206
360000.0,110.0,0.0007063881311066489,-25.38587925588575
360000.0,110.0,0.0007064952357524649,-25.38578993504449
360000.0,110.0,0.0007065877953701004,-25.385721944896886
360000.0,110.0,0.0007066657424587406,-25.385673149858366
360000.0,110.0,0.0007067290398717288,-25.385642381690356
360000.0,110.0,0.0007067783160887946,-25.38562740174445
360000.0,110.0,0.0007068146327272076,-25.385625877117498
360000.0,110.0,0.0007068388926270363,-25.385635833844574
360000.0,110.0,0.0007068524224423453,-25.38565505608456
360000.0,110.0,0.0007068567148288349,-25.38568138629253
360000.0,110.0,0.0007068530325455537,-25.38571300464498
360000.0,110.0,0.0007068428224504294,-25.385748111533122
360000.0,110.0,0.000706827511822073,-25.385785111025594
360000.0,110.0,0.0007068083048039148,-25.38582265978676
360000.0,110.0,0.0007067864103560647,-25.38585958368271
